"Name"	"FC"	"PValue"	"Marker"
"562"	"ID562"	5.891871	0.019413	0
"563"	"ID563"	0.648472	0.112475	0
"564"	"ID564"	1.394986	0.647848	0
"565"	"ID565"	0.689348	0.01231	0
"566"	"ID566"	0.339011	0.200081	0
"567"	"ID567"	5.577333	0.150659	0
"568"	"ID568"	0.060079	0.001774	0
"569"	"ID569"	1.86227	0.217386	0
"570"	"ID570"	0.626033	0.660586	0
"571"	"ID571"	1.368772	0.185939	0
"572"	"ID572"	0.978095	0.954632	0
"573"	"ID573"	0.770705	0.445548	0
"574"	"ID574"	2.810482	0.386012	0
"575"	"ID575"	0.415524	0.002451	0
"576"	"ID576"	1.220363	0.083106	0
"577"	"ID577"	0.764042	0.459788	0
"578"	"ID578"	0.605965	0.008315	0
"579"	"ID579"	1.48179	0.252363	0
"580"	"ID580"	1.065443	0.828619	0
"581"	"ID581"	2.173647	0.079652	0
"582"	"ID582"	0.80265	0.462347	0
"583"	"ID583"	2.20691	0.004072	0
"584"	"ID584"	1.392532	0.004564	0
"585"	"ID585"	0.789078	0.021106	0
"586"	"ID586"	0.969652	0.94931	0
"587"	"ID587"	0.895093	0.03909	0
"588"	"ID588"	0.898217	0.790123	0
"589"	"ID589"	0.26254	0.007727	0
"590"	"ID590"	0.257815	0.000176	0
"591"	"ID591"	1.439951	0.067417	0
"592"	"ID592"	0.671135	0.562572	0
"593"	"ID593"	2.571916	0.027205	0
"594"	"ID594"	0.702343	0.078154	0
"595"	"ID595"	1.853783	0.000142	0
"596"	"ID596"	1.842506	6.3e-05	0
"597"	"ID597"	1.040863	0.831997	0
"598"	"ID598"	0.071745	6e-06	0
"599"	"ID599"	22.773018	0.000429	0
"600"	"ID600"	0.852678	0.168412	0
"601"	"ID601"	4.279377	0.01425	0
"602"	"ID602"	0.835584	0.699057	0
"603"	"ID603"	0.06442	0.371638	0
"604"	"ID604"	1.397465	0.000796	0
"605"	"ID605"	1.222392	0.112074	0
"606"	"ID606"	1.348508	0.031739	0
"607"	"ID607"	1.554907	0.235931	0
"608"	"ID608"	1.911011	1.8e-05	0
"609"	"ID609"	0.000732	9e-05	0
"610"	"ID610"	0.002679	0	0
"611"	"ID611"	4.905033	7.3e-05	0
"612"	"ID612"	12.293376	0.001521	0
"613"	"ID613"	0.864111	0.853111	0
"614"	"ID614"	4.651784	8e-06	0
"615"	"ID615"	1.472701	0.000437	0
"616"	"ID616"	4.066298	0.115642	0
"617"	"ID617"	0.208556	4e-06	0
"618"	"ID618"	0.461644	0.000805	0
"619"	"ID619"	0.178623	0.01274	0
"620"	"ID620"	0.009945	0.001813	0
"621"	"ID621"	0.076875	0.005902	0
"622"	"ID622"	0.164723	0.000361	0
"623"	"ID623"	0.901681	0.77895	0
"624"	"ID624"	44.664631	0.018111	0
"625"	"ID625"	0.642736	0.000571	0
"626"	"ID626"	0.703856	0.336149	0
"627"	"ID627"	0.810469	0.124411	0
"628"	"ID628"	0.461197	0.002112	0
"629"	"ID629"	0.754305	0.119912	0
"630"	"ID630"	1.089069	0.656882	0
"631"	"ID631"	1.402777	0.000114	0
